11111111|255|FF|377
101000010110|2582|A16|5026
1110111|119|77|167
1|1|1|1
101000010101|2581|A15|5025
111001101|461|1CD|715
1100111|103|67|147
1101111|111|6F|157
10011|19|13|23
1001001001|585|249|1111
11111|31|1F|37
110100100000010100100100010|110111010|6902922|644024442
11101111|239|EF|357
111100010110|3862|F16|7426
111011101|477|1DD|735
110101101|429|1AD|655
11110011|243|F3|363
10111011|187|BB|273
11011101|221|DD|335
1110010|114|72|162
1011101|93|5D|135
100110100100100000100011|10111011|9A4823|46444043
1001110|78|4E|116
111110|62|3E|76
1000000010001|4113|1011|10021
1100101101|813|32D|1455
10001|17|11|21
10100101|165|A5|245
